"Data Source","Indicadores do Desenvolvimento Mundial",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Brasil","BRA","Migração, total líquido","SM.POP.NETM","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","15924","","","","","106000","","","","",
"Brasil","BRA","Desemprego, total (% da força de trabalho total)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.31400012969971","6.42000007629395","6.03000020980835","6.16900014877319","6.42000007629395","7.25","8.15999984741211","9.42000007629395","10.210000038147","9.56099987030029","9.60999965667725","9.36999988555908","9.98999977111816","9.10999965667725","9.56999969482422","8.64000034332275","8.32999992370605","7.34000015258789","8.52000045776367","7.27400016784668","6.92000007629395","7.19000005722046","6.98000001907349","6.65999984741211","8.43000030517578","11.6000003814697","12.8199996948242","12.3299999237061","11.9300003051758","13.6899995803833","14.4029998779297",
"Brasil","BRA","Pobreza, linha de pobreza nacional (% da população)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brasil","BRA","Índice de Gini","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","57.9","58.4","59","58.4","55.6","58.5","59.7","61.4","63.3","60.5","","53.2","60.1","","59.6","59.9","59.8","59.6","59","","58.4","58.1","57.6","56.5","56.3","55.6","54.9","54","53.7","","52.9","53.4","52.7","52","51.9","53.3","53.3","53.9","53.5","48.9","",
"Brasil","BRA","Pobreza, US$1,90/dia (PPP) (% da população)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","21.3","21.7","27.4","26.7","23.1","10.5","17.7","20","18.2","21.5","","20.7","19.8","","12.9","14.1","14","12.7","13.3","","11.5","10.2","11","9.7","8.6","7.2","6.7","5.5","5.4","","4.7","3.9","3.2","2.9","3.4","4.1","4.7","4.7","4.9","1.7","",
"Brasil","BRA","Participação da renda dos 20% mais pobres","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","2.7","2.6","2.6","2.7","2.9","2.7","2.4","2.1","2","2.3","","2.8","2.4","","2.4","2.2","2.3","2.4","2.5","","2.5","2.6","2.6","2.9","2.9","3","3","3.2","3.2","","3.3","3.4","3.5","3.6","3.6","3.3","3.2","3.1","3.1","4.5","",
"Brasil","BRA","Prevalência da desnutrição, peso para a idade (% de crianças menores de 5 anos):","SH.STA.MALN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.6","","","","","","","4.5","","","","","","","","","","","2.2","","","","","","","","","","","","","","",
"Brasil","BRA","Partos assistidos por pessoal de saúde qualificado (% do total):","SH.STA.BRTC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.5","","","","","87.6","98.6","98.6","98.6","98.6","98.3","98.5","98.4","98.6","98.6","97","98.6","98.8","98.9","98.9","99","99","99.1","99.1","99.1","99.1","99.1","","","","",
"Brasil","BRA","Imunização, sarampo (% de crianças de 12 a 23 meses)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","57","73","66","68","73","67","67","64","62","60","78","85","91","85","77","87","80","99","95","99","99","99","96","97","97","98","99","99","99","99","99","99","99","98","97","96","95","91","92","91","79","",
"Brasil","BRA","Taxa de mortalidade, menores de 5 anos (por 1.000 nascidos vivos)","SH.DYN.MORT","169.8","165.2","160.7","156.5","152.7","149.2","146","142.8","139.7","136.5","133.1","129.7","126.3","122.9","119.5","116.1","112.6","108.9","104.9","100.7","96.3","91.9","87.7","83.8","80.3","77","74","71.2","68.5","65.8","63.1","60.4","57.4","54.3","51.1","48","45","42.2","39.6","37.1","34.7","32.5","30.4","28.4","26.5","24.8","23.2","21.8","20.6","19.5","18.6","17.9","17.2","16.7","16.3","15.9","16.7","15.4","15.2","14.9","14.7","",
